question,answer
Calando,漸慢而弱
Con forza ,有力的
Con tutta forza ,用全部力量、盡可能響亮地
Crescendo (cresc) ,漸強 
Cresendo poco a poco sin al fine ,漸漸加強至結尾為止
Decrescendo（decresc.） ,漸弱
Diminuendo (dim) ,漸弱
Forte (f),強 
Fortepiano (fp) ,強後即弱
Fortissimo (ff) ,很強
Mezzo Forte (mf) ,中強
Mezzo Piano (mp) ,中弱
Pianissimo (pp) ,很弱
Piano (p) ,弱
Pianoforte (pf),先弱後強
Ritardando (rit) ,漸慢
Sforzando (sf),突強
Affetto,柔情的 
Affettuoso ,富於情感的
Agitato,激動的
Alla marcia,進行曲風的
Animato,活潑生動的
Angoscioso,焦慮不安地；痛苦地
Appassionato,富於熱情的
Ardito ,大膽的
Amabile,和藹可親的
Brillante ,響亮，華麗
Con brio ,有精神的
Buriesca,滑稽
Calmato,平靜的:安寧的
Camminando ,流暢地；從容不迫地
Cantabile,如歌的
Capriccioso,奇想的；頑皮的
Commodo,自然
Con Malinconia,憂鬱的
Con allegrezza ,明朗快樂的
Con celerita ,急速
Delicato,精緻的；微妙的
Dolce,溫柔的
Dolente,痛苦的
Con duolo ,愁眉苦臉地
Elegante,優美
Energico,有力的
Espressivo,有表情的
Con fuoco,有魄力，有生氣
Con gusto ,有品味
Impetuoso ,激烈的；魯莽的
Con ira,憤怒，激昂
Semplice,單純，簡單
Sentimentale,充滿感情的
Determinato,堅定的
Dramatico ,戲劇的 
Elegiaco ,悲哀如訴
Estinto,幽靜沉寂 
Frivole ,輕浮
Funebre ,送葬
Fuocoso,火熱的；熱烈的
Furiosaments,狂暴的；狂怒的
Generoso,崇高的；高貴的
Giocoso,滑稽的；玩笑的
Grandioso,宏偉的；壯大的
Guisto,精確，適中
Imitando,模仿
Imperioso ,傲然，高貴
Infantile,幼稚的
Innocente,天真的；純潔的
Lamentabile,悲傷的
Languendo,憔悴，痛心
Largrimando,如泣
Legatissimo,非常圓滑
Legato,圓滑奏
Leggierissimo,非常輕鬆
Lusingando,甜美的；嬌媚的
Maestoso,莊嚴的；雄偉的
Marcato,加重地；加強音
Marziale,如軍歌
Mesto,憂愁
Misterioso,神秘的
Parlando,說話式
Pastorale,田園的
Patetico,悲愴，哀傷
Pensiero,深思
Piacevole,愜意的；爽快的
Pietoso,同情，憐憫
Pomposo,奢華的；浮誇的
Recitativo,吟誦調；宣敘調
Religioso,虔誠的
Risoluto,果決的
Rustico,鄉野
Scherzando,詼諧曲
Sereno,平靜的；安詳的
Serioso,莊嚴的
Soavemente,温和的；柔和的
Sognando,夢幻的
Sospirando,嘆息的
Sostenuto,保持的；持續的
Strepitoso,喧鬧的
Timoroso,畏縮的；害怕的
Veloce,敏捷的
Vezzoso,優美的；可愛的